Lead ID,Location,College,Year of Study,Program Interest,Lead Source
LD4881,Surat,ABC Institute,3rd,Data Science,College Collaboration
LD4882,Kolkata,GHI University,1st,Data Science,Mass-Mailing
LD4883,Pune,XYZ University,4th,AI,LinkedIn
LD4884,Pune,PQR College,3rd,Robotics,Instagram
LD4885,Surat,ABC Institute,3rd,Robotics,Whatsapp
LD4886,Delhi,GHI University,4th,AI,Mass-Mailing
LD4887,Surat,GHI University,1st,Data Science,Mass-Mailing
LD4888,Kolkata,ABC Institute,2nd,Data Science,Mass-Mailing
LD4889,Pune,PQR College,1st,AI,College Collaboration
LD4890,Ahmedabad,XYZ University,3rd,AI,College Collaboration
LD4891,Mumbai,GHI University,1st,AI,Mass-Mailing
LD4892,Mumbai,GHI University,3rd,Web Development,LinkedIn
LD4893,Kolkata,XYZ University,4th,Web Development,Instagram
LD4894,Mumbai,XYZ University,2nd,Robotics,Mass-Mailing
LD4895,Chennai,PQR College,1st,Data Science,Instagram
LD4896,Kolkata,PQR College,4th,Robotics,Whatsapp
LD4897,Ahmedabad,GHI University,3rd,Electric Vehicle,Instagram
LD4898,Surat,PQR College,3rd,Web Development,Whatsapp
LD4899,Chennai,GHI University,3rd,AI,LinkedIn
LD4900,Surat,DEF Academy,1st,AI,Whatsapp
LD4901,Ahmedabad,GHI University,2nd,AI,Google Form
LD4902,Pune,DEF Academy,2nd,Data Science,Google Form
LD4903,Ahmedabad,DEF Academy,4th,Robotics,LinkedIn
LD4904,Pune,PQR College,3rd,Web Development,Whatsapp
LD4905,Delhi,ABC Institute,1st,Electric Vehicle,Whatsapp
LD4906,Chennai,XYZ University,3rd,Electric Vehicle,College Collaboration
LD4907,Kolkata,GHI University,4th,Data Science,Instagram
LD4908,Chennai,ABC Institute,2nd,Web Development,Mass-Mailing
LD4909,Chennai,XYZ University,4th,Robotics,LinkedIn
LD4910,Delhi,PQR College,4th,Electric Vehicle,Google Form
LD4911,Pune,ABC Institute,1st,AI,College Collaboration
LD4912,Mumbai,PQR College,2nd,Electric Vehicle,Google Form
LD4913,Delhi,GHI University,4th,Web Development,College Collaboration
LD4914,Chennai,XYZ University,3rd,Electric Vehicle,Google Form
LD4915,Chennai,DEF Academy,3rd,Web Development,Instagram
LD4916,Chennai,ABC Institute,2nd,Data Science,Google Form
LD4917,Pune,ABC Institute,4th,Data Science,College Collaboration
LD4918,Kolkata,DEF Academy,2nd,Web Development,Instagram
LD4919,Pune,XYZ University,2nd,Robotics,Google Form
LD4920,Chennai,XYZ University,3rd,Web Development,Instagram
LD4921,Ahmedabad,PQR College,2nd,Data Science,Instagram
LD4922,Ahmedabad,DEF Academy,4th,Robotics,LinkedIn
LD4923,Chennai,XYZ University,3rd,AI,Whatsapp
LD4924,Ahmedabad,XYZ University,3rd,Robotics,Mass-Mailing
LD4925,Surat,PQR College,2nd,AI,College Collaboration
LD4926,Surat,DEF Academy,4th,AI,Mass-Mailing
LD4927,Mumbai,GHI University,3rd,Web Development,College Collaboration
LD4928,Chennai,GHI University,2nd,AI,College Collaboration
LD4929,Chennai,PQR College,2nd,Electric Vehicle,Whatsapp
LD4930,Chennai,GHI University,3rd,Data Science,Instagram
LD4931,Pune,PQR College,3rd,Robotics,Google Form
LD4932,Chennai,PQR College,1st,Electric Vehicle,Google Form
LD4933,Pune,DEF Academy,2nd,Web Development,Google Form
LD4934,Surat,ABC Institute,4th,AI,Instagram
LD4935,Kolkata,PQR College,2nd,AI,Instagram
LD4936,Surat,XYZ University,2nd,Robotics,Whatsapp
LD4937,Mumbai,GHI University,2nd,AI,LinkedIn
LD4938,Kolkata,GHI University,2nd,Robotics,LinkedIn
LD4939,Ahmedabad,GHI University,4th,Robotics,LinkedIn
LD4940,Pune,GHI University,3rd,Data Science,College Collaboration
LD4941,Mumbai,XYZ University,2nd,AI,Whatsapp
LD4942,Pune,GHI University,4th,AI,LinkedIn
LD4943,Delhi,ABC Institute,3rd,Web Development,Mass-Mailing
LD4944,Delhi,ABC Institute,2nd,AI,College Collaboration
LD4945,Ahmedabad,DEF Academy,4th,AI,Google Form
LD4946,Pune,PQR College,1st,Web Development,Instagram
LD4947,Surat,ABC Institute,1st,Electric Vehicle,Instagram
LD4948,Mumbai,DEF Academy,1st,Data Science,Mass-Mailing
LD4949,Surat,GHI University,4th,Electric Vehicle,Whatsapp
LD4950,Delhi,GHI University,1st,Web Development,Mass-Mailing
LD4951,Kolkata,DEF Academy,3rd,Web Development,Mass-Mailing
LD4952,Kolkata,ABC Institute,3rd,Data Science,College Collaboration
LD4953,Chennai,ABC Institute,4th,Data Science,LinkedIn
LD4954,Ahmedabad,XYZ University,2nd,Electric Vehicle,Mass-Mailing
LD4955,Chennai,GHI University,4th,Robotics,College Collaboration
LD4956,Pune,PQR College,2nd,Data Science,College Collaboration
LD4957,Mumbai,GHI University,3rd,Robotics,Google Form
LD4958,Surat,GHI University,1st,Web Development,College Collaboration
LD4959,Delhi,PQR College,3rd,Web Development,Whatsapp
LD4960,Mumbai,PQR College,4th,AI,College Collaboration
LD4961,Ahmedabad,XYZ University,2nd,Robotics,Instagram
LD4962,Chennai,XYZ University,2nd,Robotics,Mass-Mailing
LD4963,Ahmedabad,DEF Academy,2nd,Web Development,Mass-Mailing
LD4964,Mumbai,XYZ University,3rd,Robotics,Mass-Mailing
LD4965,Pune,PQR College,1st,AI,Google Form
LD4966,Kolkata,PQR College,4th,Data Science,Mass-Mailing
LD4967,Chennai,DEF Academy,2nd,Data Science,LinkedIn
LD4968,Ahmedabad,ABC Institute,1st,Data Science,Instagram
LD4969,Kolkata,XYZ University,4th,Data Science,Whatsapp
LD4970,Mumbai,DEF Academy,2nd,Electric Vehicle,Whatsapp
LD4971,Delhi,GHI University,4th,Robotics,LinkedIn
LD4972,Delhi,XYZ University,3rd,Web Development,College Collaboration
LD4973,Mumbai,DEF Academy,2nd,Robotics,Google Form
LD4974,Kolkata,PQR College,2nd,Electric Vehicle,LinkedIn
LD4975,Chennai,DEF Academy,1st,Robotics,Whatsapp
LD4976,Pune,ABC Institute,2nd,Data Science,Mass-Mailing
LD4977,Delhi,XYZ University,1st,Electric Vehicle,College Collaboration
LD4978,Chennai,DEF Academy,3rd,Data Science,Instagram
LD4979,Mumbai,XYZ University,2nd,Electric Vehicle,Mass-Mailing
LD4980,Pune,GHI University,1st,AI,Whatsapp
LD4981,Surat,PQR College,1st,AI,Whatsapp
LD4982,Surat,PQR College,4th,Data Science,Whatsapp
LD4983,Kolkata,GHI University,2nd,AI,Mass-Mailing
LD4984,Mumbai,ABC Institute,4th,Web Development,Whatsapp
LD4985,Delhi,ABC Institute,4th,Electric Vehicle,Whatsapp
LD4986,Kolkata,GHI University,3rd,Electric Vehicle,College Collaboration
LD4987,Chennai,GHI University,2nd,Electric Vehicle,Instagram
LD4988,Delhi,DEF Academy,3rd,Data Science,Whatsapp
LD4989,Kolkata,ABC Institute,4th,Electric Vehicle,Mass-Mailing
LD4990,Chennai,GHI University,3rd,Web Development,Whatsapp
LD4991,Delhi,GHI University,2nd,Data Science,Mass-Mailing
LD4992,Pune,DEF Academy,2nd,Web Development,Mass-Mailing
LD4993,Mumbai,GHI University,1st,Data Science,LinkedIn
LD4994,Delhi,PQR College,2nd,AI,Instagram
LD4995,Ahmedabad,GHI University,3rd,Data Science,LinkedIn
LD4996,Kolkata,GHI University,1st,Data Science,Whatsapp
LD4997,Delhi,PQR College,2nd,Data Science,College Collaboration
LD4998,Chennai,ABC Institute,3rd,AI,Mass-Mailing
LD4999,Kolkata,XYZ University,3rd,AI,Instagram
LD5000,Mumbai,GHI University,2nd,Robotics,Google Form
LD5001,Delhi,ABC Institute,1st,Web Development,Mass-Mailing
LD5002,Kolkata,GHI University,1st,AI,LinkedIn
LD5003,Kolkata,XYZ University,4th,Electric Vehicle,College Collaboration
LD5004,Delhi,GHI University,3rd,AI,Whatsapp
LD5005,Ahmedabad,DEF Academy,4th,Data Science,Mass-Mailing
LD5006,Surat,XYZ University,2nd,Electric Vehicle,Mass-Mailing
LD5007,Mumbai,XYZ University,4th,AI,Google Form
LD5008,Pune,DEF Academy,3rd,Robotics,College Collaboration
LD5009,Kolkata,ABC Institute,3rd,Web Development,Whatsapp
LD5010,Mumbai,DEF Academy,2nd,Robotics,LinkedIn
LD5011,Delhi,ABC Institute,3rd,AI,Google Form
LD5012,Kolkata,ABC Institute,2nd,Data Science,Google Form
LD5013,Pune,ABC Institute,4th,Data Science,Google Form
LD5014,Surat,ABC Institute,1st,Electric Vehicle,Google Form
LD5015,Delhi,PQR College,3rd,Web Development,Whatsapp
LD5016,Chennai,DEF Academy,3rd,AI,College Collaboration
LD5017,Surat,PQR College,2nd,Robotics,College Collaboration
LD5018,Surat,ABC Institute,2nd,AI,Google Form
LD5019,Pune,XYZ University,2nd,Data Science,Mass-Mailing
LD5020,Ahmedabad,ABC Institute,4th,Web Development,Instagram
LD5021,Ahmedabad,PQR College,4th,Data Science,LinkedIn
LD5022,Chennai,ABC Institute,3rd,Data Science,Instagram
LD5023,Surat,ABC Institute,2nd,Web Development,Google Form
LD5024,Mumbai,ABC Institute,1st,Web Development,College Collaboration
LD5025,Pune,PQR College,3rd,Robotics,LinkedIn
LD5026,Ahmedabad,DEF Academy,2nd,Electric Vehicle,Mass-Mailing
LD5027,Surat,DEF Academy,2nd,Electric Vehicle,Google Form
LD5028,Ahmedabad,DEF Academy,3rd,AI,Whatsapp
LD5029,Ahmedabad,PQR College,2nd,Data Science,Google Form
LD5030,Ahmedabad,XYZ University,1st,Robotics,LinkedIn
LD5031,Chennai,PQR College,3rd,Data Science,LinkedIn
LD5032,Kolkata,XYZ University,3rd,AI,Mass-Mailing
LD5033,Surat,XYZ University,3rd,Data Science,College Collaboration
LD5034,Surat,GHI University,2nd,Electric Vehicle,LinkedIn
LD5035,Mumbai,GHI University,1st,Data Science,Mass-Mailing
LD5036,Ahmedabad,DEF Academy,2nd,Data Science,Whatsapp
LD5037,Surat,DEF Academy,2nd,AI,LinkedIn
LD5038,Ahmedabad,PQR College,4th,Electric Vehicle,Mass-Mailing
LD5039,Pune,DEF Academy,1st,Data Science,Mass-Mailing
LD5040,Surat,XYZ University,4th,Data Science,Instagram
LD5041,Pune,GHI University,1st,Robotics,Google Form
LD5042,Delhi,GHI University,3rd,Robotics,Instagram
LD5043,Pune,GHI University,3rd,Robotics,Whatsapp
LD5044,Surat,ABC Institute,3rd,Electric Vehicle,College Collaboration
LD5045,Pune,GHI University,2nd,Web Development,Google Form
LD5046,Pune,PQR College,3rd,Web Development,Google Form
LD5047,Surat,PQR College,2nd,Data Science,LinkedIn
LD5048,Delhi,DEF Academy,3rd,Robotics,Instagram
LD5049,Delhi,PQR College,3rd,Electric Vehicle,LinkedIn
LD5050,Chennai,DEF Academy,3rd,Electric Vehicle,LinkedIn
LD5051,Ahmedabad,XYZ University,2nd,AI,Google Form
LD5052,Mumbai,PQR College,1st,Web Development,Google Form
LD5053,Pune,GHI University,2nd,Robotics,Google Form
LD5054,Mumbai,GHI University,2nd,AI,LinkedIn
LD5055,Kolkata,XYZ University,4th,AI,Whatsapp
LD5056,Chennai,ABC Institute,4th,Web Development,Mass-Mailing
LD5057,Delhi,PQR College,3rd,AI,Google Form
LD5058,Kolkata,DEF Academy,2nd,Web Development,Instagram
LD5059,Chennai,XYZ University,2nd,Electric Vehicle,LinkedIn
LD5060,Kolkata,XYZ University,3rd,Electric Vehicle,Instagram
LD5061,Ahmedabad,GHI University,4th,AI,Whatsapp
LD5062,Ahmedabad,PQR College,1st,Web Development,LinkedIn
LD5063,Delhi,DEF Academy,2nd,Robotics,Whatsapp
LD5064,Delhi,PQR College,1st,AI,Google Form
LD5065,Ahmedabad,ABC Institute,3rd,Web Development,LinkedIn
LD5066,Surat,ABC Institute,2nd,Data Science,Google Form
LD5067,Pune,ABC Institute,4th,AI,College Collaboration
LD5068,Surat,GHI University,4th,Data Science,Mass-Mailing
LD5069,Chennai,PQR College,3rd,Robotics,LinkedIn
LD5070,Surat,XYZ University,1st,AI,Instagram
LD5071,Surat,DEF Academy,3rd,Robotics,College Collaboration
LD5072,Mumbai,DEF Academy,4th,Data Science,Instagram
LD5073,Chennai,ABC Institute,4th,AI,Whatsapp
LD5074,Surat,PQR College,4th,Robotics,Instagram
LD5075,Surat,XYZ University,2nd,Web Development,Instagram
LD5076,Ahmedabad,XYZ University,2nd,Web Development,LinkedIn
LD5077,Chennai,GHI University,3rd,Electric Vehicle,Whatsapp
LD5078,Ahmedabad,XYZ University,3rd,Data Science,Instagram
LD5079,Mumbai,ABC Institute,4th,Electric Vehicle,Google Form
LD5080,Mumbai,ABC Institute,2nd,Web Development,Instagram
LD5081,Ahmedabad,DEF Academy,2nd,Robotics,Mass-Mailing
LD5082,Surat,PQR College,2nd,Robotics,College Collaboration
LD5083,Surat,ABC Institute,3rd,Web Development,Mass-Mailing
LD5084,Chennai,PQR College,3rd,Electric Vehicle,Mass-Mailing
LD5085,Mumbai,DEF Academy,1st,Robotics,College Collaboration
LD5086,Delhi,GHI University,1st,Web Development,College Collaboration
LD5087,Delhi,ABC Institute,4th,Robotics,College Collaboration
LD5088,Delhi,GHI University,4th,Robotics,Google Form
LD5089,Delhi,XYZ University,2nd,AI,Mass-Mailing
LD5090,Pune,PQR College,4th,Web Development,Google Form
LD5091,Delhi,DEF Academy,4th,Data Science,Instagram
LD5092,Mumbai,DEF Academy,3rd,AI,Whatsapp
LD5093,Ahmedabad,GHI University,2nd,Robotics,Instagram
LD5094,Delhi,GHI University,3rd,Data Science,LinkedIn
LD5095,Delhi,PQR College,1st,Data Science,Whatsapp
LD5096,Kolkata,XYZ University,4th,Electric Vehicle,Google Form
LD5097,Ahmedabad,DEF Academy,2nd,Web Development,Whatsapp
LD5098,Pune,GHI University,3rd,Web Development,Mass-Mailing
LD5099,Ahmedabad,GHI University,1st,Electric Vehicle,Instagram
LD5100,Delhi,XYZ University,2nd,AI,Whatsapp
LD5101,Kolkata,DEF Academy,1st,Robotics,College Collaboration
LD5102,Pune,PQR College,2nd,AI,College Collaboration
LD5103,Kolkata,GHI University,1st,AI,LinkedIn
LD5104,Delhi,DEF Academy,1st,Web Development,Mass-Mailing
LD5105,Ahmedabad,ABC Institute,3rd,AI,Google Form
LD5106,Kolkata,DEF Academy,1st,Electric Vehicle,College Collaboration
LD5107,Kolkata,ABC Institute,2nd,Data Science,Mass-Mailing
LD5108,Mumbai,XYZ University,4th,AI,Instagram
LD5109,Ahmedabad,GHI University,3rd,Robotics,LinkedIn
LD5110,Pune,XYZ University,4th,Data Science,College Collaboration
LD5111,Surat,ABC Institute,1st,Web Development,Mass-Mailing
LD5112,Chennai,PQR College,2nd,Web Development,Mass-Mailing
LD5113,Ahmedabad,GHI University,1st,Web Development,Mass-Mailing
LD5114,Surat,ABC Institute,1st,Electric Vehicle,LinkedIn
LD5115,Pune,XYZ University,3rd,AI,Google Form
LD5116,Ahmedabad,GHI University,4th,Data Science,Mass-Mailing
LD5117,Surat,DEF Academy,2nd,Web Development,Mass-Mailing
LD5118,Kolkata,ABC Institute,4th,Data Science,Whatsapp
LD5119,Pune,DEF Academy,3rd,Robotics,LinkedIn
LD5120,Delhi,ABC Institute,3rd,Data Science,Instagram
LD5121,Mumbai,GHI University,2nd,AI,College Collaboration
LD5122,Ahmedabad,XYZ University,3rd,Web Development,Google Form
LD5123,Kolkata,DEF Academy,3rd,Web Development,Instagram
LD5124,Surat,ABC Institute,2nd,Data Science,LinkedIn
LD5125,Mumbai,DEF Academy,2nd,Web Development,Google Form
LD5126,Delhi,PQR College,2nd,Data Science,Instagram
LD5127,Ahmedabad,GHI University,4th,Data Science,LinkedIn
LD5128,Ahmedabad,ABC Institute,3rd,Robotics,Google Form
LD5129,Kolkata,XYZ University,3rd,Data Science,Instagram
LD5130,Pune,GHI University,1st,Web Development,Instagram
LD5131,Pune,ABC Institute,2nd,Electric Vehicle,Google Form
LD5132,Chennai,XYZ University,3rd,Robotics,LinkedIn
LD5133,Pune,XYZ University,2nd,AI,Instagram
LD5134,Delhi,GHI University,4th,Data Science,Whatsapp
LD5135,Surat,GHI University,1st,Robotics,College Collaboration
LD5136,Chennai,GHI University,1st,Data Science,Mass-Mailing
LD5137,Chennai,DEF Academy,3rd,Robotics,Whatsapp
LD5138,Delhi,PQR College,4th,Web Development,Whatsapp
LD5139,Kolkata,ABC Institute,2nd,Data Science,LinkedIn
LD5140,Kolkata,DEF Academy,2nd,Web Development,Mass-Mailing
LD5141,Surat,GHI University,4th,AI,College Collaboration
LD5142,Ahmedabad,DEF Academy,1st,AI,College Collaboration
LD5143,Ahmedabad,DEF Academy,2nd,Web Development,Instagram
LD5144,Chennai,DEF Academy,3rd,Robotics,LinkedIn
LD5145,Surat,ABC Institute,3rd,Web Development,Mass-Mailing
LD5146,Surat,ABC Institute,3rd,AI,LinkedIn
LD5147,Chennai,PQR College,4th,Robotics,Instagram
LD5148,Ahmedabad,ABC Institute,3rd,Electric Vehicle,LinkedIn
LD5149,Chennai,XYZ University,4th,Electric Vehicle,Google Form
LD5150,Chennai,GHI University,3rd,Electric Vehicle,Instagram
LD5151,Ahmedabad,GHI University,3rd,Web Development,Mass-Mailing
LD5152,Surat,GHI University,1st,Data Science,Mass-Mailing
LD5153,Mumbai,PQR College,1st,Data Science,Whatsapp
LD5154,Mumbai,ABC Institute,3rd,Web Development,Mass-Mailing
LD5155,Kolkata,XYZ University,2nd,Robotics,Instagram
LD5156,Chennai,PQR College,4th,Data Science,Google Form
LD5157,Kolkata,GHI University,3rd,Robotics,Instagram
LD5158,Chennai,PQR College,3rd,Robotics,LinkedIn
LD5159,Surat,DEF Academy,1st,Electric Vehicle,Whatsapp
LD5160,Chennai,XYZ University,1st,Robotics,Mass-Mailing
LD5161,Kolkata,XYZ University,1st,Web Development,Google Form
LD5162,Delhi,GHI University,3rd,Web Development,Whatsapp
LD5163,Kolkata,GHI University,2nd,Data Science,LinkedIn
LD5164,Delhi,DEF Academy,2nd,AI,Instagram
LD5165,Mumbai,PQR College,1st,Electric Vehicle,Instagram
LD5166,Delhi,GHI University,2nd,Electric Vehicle,Google Form
LD5167,Pune,ABC Institute,1st,Electric Vehicle,Instagram
LD5168,Pune,GHI University,1st,Robotics,Mass-Mailing
LD5169,Kolkata,ABC Institute,3rd,Robotics,Mass-Mailing
LD5170,Delhi,DEF Academy,4th,Data Science,Mass-Mailing
LD5171,Ahmedabad,PQR College,3rd,Robotics,LinkedIn
LD5172,Pune,ABC Institute,4th,Robotics,College Collaboration
LD5173,Surat,PQR College,2nd,Electric Vehicle,Google Form
LD5174,Pune,GHI University,3rd,Robotics,Mass-Mailing
LD5175,Chennai,GHI University,1st,Electric Vehicle,College Collaboration
LD5176,Surat,PQR College,1st,Data Science,Whatsapp
LD5177,Chennai,PQR College,4th,Robotics,Whatsapp
LD5178,Kolkata,DEF Academy,2nd,Web Development,LinkedIn
LD5179,Mumbai,GHI University,4th,Web Development,College Collaboration
LD5180,Kolkata,XYZ University,3rd,AI,Instagram
LD5181,Kolkata,XYZ University,1st,Robotics,LinkedIn
LD5182,Surat,GHI University,2nd,Web Development,Mass-Mailing
LD5183,Surat,GHI University,4th,AI,Mass-Mailing
LD5184,Delhi,GHI University,3rd,Web Development,Instagram
LD5185,Chennai,XYZ University,3rd,AI,Instagram
LD5186,Delhi,PQR College,1st,Data Science,LinkedIn
LD5187,Chennai,GHI University,3rd,Web Development,Whatsapp
LD5188,Mumbai,PQR College,4th,Data Science,Instagram
LD5189,Kolkata,ABC Institute,4th,Web Development,Whatsapp
LD5190,Kolkata,PQR College,2nd,AI,Google Form
LD5191,Delhi,DEF Academy,3rd,Web Development,Mass-Mailing
LD5192,Delhi,GHI University,4th,Web Development,Instagram
LD5193,Surat,DEF Academy,2nd,AI,Google Form
LD5194,Mumbai,ABC Institute,2nd,AI,Whatsapp
LD5195,Pune,ABC Institute,2nd,Web Development,Instagram
LD5196,Mumbai,ABC Institute,1st,AI,Instagram
LD5197,Ahmedabad,PQR College,1st,Data Science,Mass-Mailing
LD5198,Mumbai,XYZ University,2nd,Web Development,LinkedIn
LD5199,Delhi,ABC Institute,1st,Electric Vehicle,College Collaboration
LD5200,Delhi,XYZ University,2nd,Web Development,LinkedIn
LD5201,Delhi,DEF Academy,3rd,Electric Vehicle,Google Form
LD5202,Chennai,ABC Institute,2nd,Web Development,LinkedIn
LD5203,Pune,ABC Institute,1st,Electric Vehicle,Mass-Mailing
LD5204,Delhi,ABC Institute,1st,AI,LinkedIn
LD5205,Kolkata,PQR College,2nd,Web Development,Instagram
LD5206,Mumbai,ABC Institute,4th,Electric Vehicle,College Collaboration
LD5207,Kolkata,GHI University,2nd,AI,College Collaboration
LD5208,Chennai,ABC Institute,1st,Electric Vehicle,Instagram
LD5209,Mumbai,PQR College,4th,Data Science,College Collaboration
LD5210,Ahmedabad,PQR College,1st,Data Science,Whatsapp
LD5211,Pune,DEF Academy,2nd,Robotics,Mass-Mailing
LD5212,Chennai,XYZ University,4th,Electric Vehicle,Mass-Mailing
LD5213,Ahmedabad,ABC Institute,1st,Electric Vehicle,Instagram
LD5214,Ahmedabad,GHI University,2nd,Web Development,College Collaboration
LD5215,Mumbai,XYZ University,4th,Robotics,Whatsapp
LD5216,Chennai,GHI University,2nd,Data Science,Mass-Mailing
LD5217,Pune,GHI University,1st,Web Development,Mass-Mailing
LD5218,Mumbai,ABC Institute,4th,Web Development,College Collaboration
LD5219,Pune,DEF Academy,2nd,Robotics,Mass-Mailing
LD5220,Pune,GHI University,1st,Web Development,Mass-Mailing
LD5221,Mumbai,ABC Institute,4th,Web Development,Instagram
LD5222,Mumbai,XYZ University,1st,Data Science,LinkedIn
LD5223,Pune,XYZ University,2nd,Web Development,Mass-Mailing
LD5224,Kolkata,PQR College,2nd,AI,Instagram
LD5225,Ahmedabad,ABC Institute,4th,Electric Vehicle,LinkedIn
LD5226,Delhi,PQR College,4th,AI,Mass-Mailing
LD5227,Delhi,GHI University,1st,Electric Vehicle,College Collaboration
LD5228,Kolkata,ABC Institute,3rd,Robotics,College Collaboration
LD5229,Kolkata,XYZ University,4th,Data Science,Mass-Mailing
LD5230,Mumbai,ABC Institute,4th,Web Development,Mass-Mailing
LD5231,Chennai,DEF Academy,3rd,Electric Vehicle,Instagram
LD5232,Pune,XYZ University,3rd,AI,LinkedIn
LD5233,Delhi,GHI University,3rd,Web Development,Google Form
LD5234,Chennai,DEF Academy,2nd,AI,Mass-Mailing
LD5235,Kolkata,GHI University,2nd,Data Science,Google Form
LD5236,Ahmedabad,PQR College,3rd,Robotics,Whatsapp
LD5237,Chennai,PQR College,3rd,Web Development,College Collaboration
LD5238,Mumbai,GHI University,2nd,Electric Vehicle,College Collaboration
LD5239,Mumbai,PQR College,2nd,Web Development,Mass-Mailing
LD5240,Kolkata,DEF Academy,1st,Robotics,Whatsapp
LD5241,Mumbai,XYZ University,2nd,AI,Mass-Mailing
LD5242,Delhi,GHI University,1st,Web Development,Whatsapp
LD5243,Surat,DEF Academy,4th,Data Science,Whatsapp
LD5244,Ahmedabad,XYZ University,2nd,Electric Vehicle,Google Form
LD5245,Mumbai,GHI University,2nd,Electric Vehicle,Instagram
LD5246,Mumbai,ABC Institute,3rd,Robotics,Whatsapp
LD5247,Surat,ABC Institute,2nd,Web Development,College Collaboration
LD5248,Delhi,PQR College,3rd,Web Development,Whatsapp
LD5249,Chennai,PQR College,1st,AI,Instagram
LD5250,Delhi,DEF Academy,2nd,Electric Vehicle,LinkedIn
LD5251,Kolkata,ABC Institute,4th,Electric Vehicle,Whatsapp
LD5252,Kolkata,XYZ University,2nd,Electric Vehicle,Google Form
LD5253,Pune,DEF Academy,2nd,Web Development,Mass-Mailing
LD5254,Mumbai,XYZ University,4th,Robotics,LinkedIn
LD5255,Ahmedabad,ABC Institute,3rd,Electric Vehicle,College Collaboration
LD5256,Ahmedabad,ABC Institute,2nd,AI,Mass-Mailing
LD5257,Pune,XYZ University,2nd,AI,Google Form
LD5258,Kolkata,PQR College,2nd,Robotics,College Collaboration
LD5259,Delhi,GHI University,1st,Web Development,Mass-Mailing
LD5260,Mumbai,GHI University,1st,AI,Google Form
LD5261,Delhi,XYZ University,3rd,Data Science,College Collaboration
LD5262,Chennai,GHI University,3rd,Data Science,College Collaboration
LD5263,Mumbai,DEF Academy,2nd,Web Development,Google Form
LD5264,Pune,XYZ University,1st,Data Science,Mass-Mailing
LD5265,Delhi,PQR College,2nd,Electric Vehicle,College Collaboration
LD5266,Pune,ABC Institute,1st,Robotics,LinkedIn
LD5267,Pune,GHI University,2nd,Data Science,Google Form
LD5268,Mumbai,XYZ University,1st,AI,Instagram
LD5269,Pune,XYZ University,4th,Web Development,Mass-Mailing
LD5270,Kolkata,DEF Academy,2nd,Robotics,Mass-Mailing
LD5271,Pune,ABC Institute,4th,Electric Vehicle,Instagram
LD5272,Kolkata,XYZ University,4th,Electric Vehicle,Google Form
LD5273,Delhi,DEF Academy,2nd,AI,Google Form
LD5274,Chennai,DEF Academy,2nd,Robotics,LinkedIn
LD5275,Surat,ABC Institute,4th,Electric Vehicle,Whatsapp
LD5276,Mumbai,PQR College,4th,Robotics,Mass-Mailing
LD5277,Surat,DEF Academy,1st,Electric Vehicle,Instagram
LD5278,Mumbai,GHI University,2nd,Web Development,Instagram
LD5279,Ahmedabad,GHI University,1st,AI,Mass-Mailing
LD5280,Mumbai,ABC Institute,4th,Electric Vehicle,LinkedIn
LD5281,Mumbai,DEF Academy,1st,Web Development,Google Form
LD5282,Delhi,PQR College,3rd,Robotics,Mass-Mailing
LD5283,Delhi,XYZ University,2nd,Robotics,Mass-Mailing
LD5284,Surat,PQR College,1st,Electric Vehicle,Mass-Mailing
LD5285,Delhi,ABC Institute,4th,AI,College Collaboration
LD5286,Pune,ABC Institute,2nd,Robotics,Google Form
LD5287,Delhi,XYZ University,3rd,Robotics,Mass-Mailing
LD5288,Delhi,XYZ University,3rd,Web Development,Instagram
LD5289,Mumbai,DEF Academy,1st,Robotics,Mass-Mailing
LD5290,Mumbai,GHI University,1st,Web Development,Instagram
LD5291,Delhi,DEF Academy,2nd,Web Development,Instagram
LD5292,Chennai,GHI University,3rd,Robotics,College Collaboration
LD5293,Delhi,XYZ University,3rd,Web Development,Google Form
LD5294,Chennai,PQR College,1st,Robotics,Google Form
LD5295,Chennai,ABC Institute,2nd,Electric Vehicle,College Collaboration
LD5296,Kolkata,GHI University,1st,Data Science,Google Form
LD5297,Mumbai,ABC Institute,1st,Electric Vehicle,College Collaboration
LD5298,Delhi,DEF Academy,1st,Web Development,Google Form
LD5299,Mumbai,XYZ University,1st,Data Science,Whatsapp
LD5300,Ahmedabad,GHI University,2nd,AI,Google Form
LD5301,Surat,DEF Academy,2nd,Data Science,Instagram
LD5302,Mumbai,GHI University,4th,Robotics,Google Form
LD5303,Kolkata,PQR College,3rd,Electric Vehicle,Mass-Mailing
LD5304,Surat,ABC Institute,3rd,Data Science,Whatsapp
LD5305,Kolkata,PQR College,4th,Robotics,LinkedIn
LD5306,Mumbai,XYZ University,4th,Web Development,Google Form
LD5307,Chennai,DEF Academy,4th,Robotics,Google Form
LD5308,Pune,GHI University,2nd,Data Science,LinkedIn
LD5309,Pune,GHI University,1st,Robotics,Whatsapp
LD5310,Mumbai,ABC Institute,1st,Web Development,Whatsapp
LD5311,Kolkata,GHI University,2nd,Electric Vehicle,Google Form
LD5312,Pune,XYZ University,2nd,Web Development,Whatsapp
LD5313,Kolkata,XYZ University,1st,Robotics,Whatsapp
LD5314,Pune,ABC Institute,3rd,Web Development,Mass-Mailing
LD5315,Surat,ABC Institute,2nd,AI,Google Form
LD5316,Surat,ABC Institute,2nd,AI,College Collaboration
